name,slug,denominations,denomination_type,rate
Aulani Disney Resort Spa,aulani-disney-resort-spa,"[15,500]",VARIABLE,4
Free Fire,free-fire,"[10,20]",FIXED,3
Paramount+,paramount,"[25,50,100]",FIXED,6.5
Build-A-Bear Workshop,buildabear-workshop,[70],FIXED,15
Build-A-Bear Workshop,buildabear-workshop,"[15,200]",VARIABLE,11
Bath & Body Works,bath-body-works,"[50,100]",FIXED,7.5
Bath & Body Works,bath-body-works,"[10,500]",VARIABLE,6
Regal Premiere Ticket,Regal-Premiere-Ticket,[14],FIXED,15
Goccl,goccl,"[100,1000]",VARIABLE,8.5
Bonefish Grill,bonefish-grill,"[20,200]",VARIABLE,9.5
Rec Room,rec-room,"[10,150]",VARIABLE,10.5
NeighborShare,neighborshare,"[10,1000]",VARIABLE,4.5
FLUZ,fluz,"[20,1900]",VARIABLE,7
For the love of Limo Rides,for-the-love-of-limo-rides,"[20,1900]",VARIABLE,7
